CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,LastUpdated,AgeInMonths,AgeInYears,BirthYear,BirthMonth,BikeBuyer,AvgMonthSpend
21173,"",Chad,C,Yuan,"",7090 C. Mount Hood,NULL,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0115,11/13/1987 12:00:00 AM,Bachelors,Clerical,M,M,1,3,0,1,81916,3/6/2017 12:00:00 AM,352,29,1987,11,1,50.97
13249,"",Ryan,"",Perry,"",3651 Willow Lake Rd,NULL,Shawnee,British Columbia,Canada,V9B 2C3,787-555-0136,7/21/1972 12:00:00 AM,Partial College,Clerical,M,M,1,2,1,2,81076,3/6/2017 12:00:00 AM,536,44,1972,7,1,53.11
29350,"",Julia,"",Thompson,"",1774 Tice Valley Blvd.,NULL,West Covina,California,United States,91791,120-555-0111,11/9/1985 12:00:00 AM,Bachelors,Clerical,F,S,0,3,0,0,86387,3/6/2017 12:00:00 AM,376,31,1985,11,1,54.08
13503,"",Theodore,"",Gomez,"",2103 Baldwin Dr,NULL,Liverpool,England,United Kingdom,L4 4HB,1 (11) 500 555-0167,10/18/1977 12:00:00 AM,Partial College,Skilled Manual,M,M,1,2,1,2,61481,3/6/2017 12:00:00 AM,473,39,1977,10,1,56.93
22803,"",Marshall,J,Shan,"",Am Gallberg 234,NULL,Werne,Nordrhein-Westfalen,Germany,59368,1 (11) 500 555-0113,2/5/1975 12:00:00 AM,Partial College,Skilled Manual,M,S,1,1,0,0,51804,3/6/2017 12:00:00 AM,505,42,1975,2,1,55.41
22092,"",Andrea,"",Young,"",9384 Ashmount Way,NULL,Tacoma,Washington,United States,98403,639-555-0165,2/23/1975 12:00:00 AM,High School,Skilled Manual,F,M,1,2,2,2,61944,3/6/2017 12:00:00 AM,505,42,1975,2,1,49.31
11229,"",Adrian,C,Stewart,"",6898 Shaw Rd.,NULL,Redwood City,California,United States,94063,812-555-0122,12/3/1971 12:00:00 AM,Partial College,Manual,M,S,1,1,0,0,34919,3/6/2017 12:00:00 AM,543,45,1971,12,0,56.01
24179,"",Robyn,R,Blanco,"",6270 Pinecreek Way,NULL,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0113,3/7/1997 12:00:00 AM,Partial College,Skilled Manual,F,M,0,1,0,0,61832,3/6/2017 12:00:00 AM,240,20,1997,3,1,49.29
12127,"",Grace,"",Davis,"","8188, rue Lamarck",NULL,Dunkerque,Nord,France,59140,1 (11) 500 555-0178,12/14/1976 12:00:00 AM,Partial College,Clerical,F,M,1,0,0,2,83834,3/6/2017 12:00:00 AM,483,40,1976,12,1,50.05
19903,"",Marcus,N,Nelson,"","5, rue des Bouchers",NULL,Metz,Moselle,France,57000,1 (11) 500 555-0181,12/4/1976 12:00:00 AM,High School,Manual,M,S,0,1,0,0,26880,3/6/2017 12:00:00 AM,483,40,1976,12,0,54.15
25924,"",Hannah,"",Robinson,"",536 Beech Ct.,NULL,Redwood City,California,United States,94063,609-555-0161,11/20/1998 12:00:00 AM,Partial College,Clerical,F,S,0,1,0,0,77258,3/6/2017 12:00:00 AM,220,18,1998,11,0,54.02
23033,"",Alex,J,Turner,"",9973 Mcnutt Ave,NULL,Lakewood,California,United States,90712,668-555-0160,4/21/1981 12:00:00 AM,Bachelors,Management,M,M,1,3,0,0,102698,3/6/2017 12:00:00 AM,431,35,1981,4,0,58.29
20029,"",Jan,M,Evans,"",7787 Olive St.,NULL,Los Angeles,California,United States,90012,163-555-0164,10/24/1984 12:00:00 AM,Bachelors,Management,F,M,1,1,1,2,108198,3/6/2017 12:00:00 AM,389,32,1984,10,1,52.66
22031,"",Jorge,"",Cai,"",7952 Quartermaster,NULL,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0191,8/12/1960 12:00:00 AM,Bachelors,Professional,M,M,1,2,0,2,133762,3/6/2017 12:00:00 AM,679,56,1960,8,0,52.5
23770,"",Jamie,"",Carlson,"",8191 Scenic Ct.,NULL,Maidenhead,England,United Kingdom,SL67RJ,1 (11) 500 555-0165,5/12/1991 12:00:00 AM,Partial High School,Manual,M,S,0,1,0,0,30526,3/7/2017 12:00:00 AM,310,25,1991,5,0,49.61
23737,"",Elena,"",Velez Amezaga,"",9613 Camino Royale,NULL,Beverly Hills,California,United States,90210,545-555-0171,3/14/1971 12:00:00 AM,Partial College,Skilled Manual,F,M,1,2,0,2,56353,3/6/2017 12:00:00 AM,552,46,1971,3,1,49.04
17127,"",Makayla,A,Gray,"",9442 Lacanda,NULL,Puyallup,Washington,United States,98371,133-555-0124,6/2/1965 12:00:00 AM,High School,Clerical,F,S,1,3,1,1,79019,3/6/2017 12:00:00 AM,621,51,1965,6,1,50.48
28130,"",Joshua,M,Taylor,"",1145 Paraiso Ct.,NULL,Langley,British Columbia,Canada,V3A 4R2,926-555-0140,2/2/1993 12:00:00 AM,Partial College,Skilled Manual,M,S,0,2,0,0,55387,3/6/2017 12:00:00 AM,289,24,1993,2,1,51
28455,"",Raymond,E,Sara,"",Zollstr 68,Verkaufsabteilung,Darmstadt,Hessen,Germany,64283,1 (11) 500 555-0165,6/6/1981 12:00:00 AM,Bachelors,Management,M,M,1,2,0,2,113276,3/6/2017 12:00:00 AM,429,35,1981,6,0,58.69
20161,"",Albert,G,Sanz,"","87, rue de la Comédie",NULL,Orly,Val de Marne,France,94310,1 (11) 500 555-0118,6/20/1963 12:00:00 AM,Partial College,Management,M,S,1,1,0,1,109259,3/6/2017 12:00:00 AM,645,53,1963,6,0,52.3
21325,"",Angela,"",Hayes,"",8273 Glacier Drive,NULL,El Cajon,California,United States,92020,848-555-0112,7/10/1980 12:00:00 AM,High School,Clerical,F,M,1,0,0,2,83845,3/6/2017 12:00:00 AM,440,36,1980,7,0,50.38
12128,"",Kristy,E,Munoz,"",Altendorfer Straße 903,NULL,Berlin,Hessen,Germany,12171,1 (11) 500 555-0146,12/16/1976 12:00:00 AM,High School,Skilled Manual,F,M,1,0,2,2,59527,3/6/2017 12:00:00 AM,483,40,1976,12,1,53.22
